,Course Code,INSTITUTION and COURSE,pointsR1,pointsR2,Round_1_Points,Round_2_Points
473,TR064,Environmental Science and Engineering,555,,555,
474,TR072,Pharmacy,613*,613*,613,613
475,TR080,Global Business,613*,,613,
476,TR081,Business  Economic and Social Studies (BESS),577,567*,577,567
477,TR084,Social Studies (Social Work),497,487*,497,487
478,TR085,Business Studies and French,564,,564,
479,TR086,Business Studies and German,530,,530,
480,TR087,Business Studies and Russian,487,,487,
481,TR089,Business Studies and Polish,391,,391,
482,TR090,Business Studies and Spanish,566,,566,
483,TR091,General Nursing (Meath and St James`s),462,456*,462,456
484,TR093,General Nursing (Adelaide School of Nursing),#473,,473,
485,TR095,Mental Health Nursing,442,,442,
486,TR097,Intellectual Disability Nursing,412,410,412,410
487,TR911,Children`s and General Nursing (Integrated),531*,,531,
488,TR913,Midwifery,521,,521,
489,DN100,Architecture,555,,555,
490,DN120,Landscape Architecture,463,435,463,435
491,DN130,City Planning and Environmental Policy,445,424,445,424
492,DN150,Engineering (Common Entry),565*,,565,
493,DN200,Science (options),577,567,577,567
494,DN201,Computer Science (Common Entry),554,549,554,549
495,DN230,Actuarial and Financial Studies,613*,613*,613,613
496,DN240,Sustainability,510,,510,
497,DN250,Agricultural Science (options),454,444,454,444
498,DN261,Food Science,531,,531,
499,DN262,Human Nutrition,566,,566,
500,DN300,Veterinary Medicine - Undergraduate Entry,#601*,,601,
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,
502,DN310,Veterinary Nursing,521,509,521,509
503,DN400,Medicine - Undergraduate Entry (HPAT required),#743*,,743,
504,DN401,Medicine - Graduate Entry (GAMSAT required),#61*,,61,
505,DN410,Radiography,566*,566*,566,566
506,DN411,Radiography - Graduate Entry,#,,,
507,DN420,Physiotherapy,601*,601*,601,601
508,DN425,Health and Performance Science,544,543,544,543
509,DN430,Sport and Exercise Management,484,476,484,476
510,DN440,Biomedical  Health and Life Sciences,613*,613*,613,613
511,DN450,General Nursing,462*,,462,
512,DN451,Children`s and General Nursing (Integrated),533,,533,
513,DN452,Midwifery,510,509*,510,509
514,DN453,Mental Health Nursing,442,,442,
515,DN520,Joint Honours (options),381,378,381,378
516,DN530,Humanities (options),397,388,397,388
517,DN541,Modern Languages (options),320,,320,
518,DN600,Law (options),576,567*,576,567
519,DN610,Business and Law,573,567,573,567
520,DN650,Commerce,555,,555,
521,DN660,Commerce International (options),555,554*,555,554
522,DN670,Economics and Finance,625*,625,625,625
523,DN700,Social Sciences (options),475,474,475,474
524,DN710,Economics,534,532*,534,532
525,DN720,Psychology,566,564,566,564
526,DN750,Social Policy and Sociology,421,,421,
527,DK810,Accounting and Finance,307,307,307,307
528,DK816,Business Studies,301,301,301,301
529,DK820,Computing in Games Development,309,309,309,309
530,DK821,Computing in Software Development,320,316,320,316
531,DK822,Augmented and Virtual Reality,320,320,320,320
532,DK830,Building Surveying,305,,305,
533,DK831,Architectural Technology,368,314,368,314
534,DK832,Construction Management,358,305,358,305
535,DK843,Engineering (Common Entry),404,391,404,391
536,DK844,Mechanical Engineering,336,336,336,336
537,DK845,Electrical and Electronic Engineering,331,331,331,331
538,DK846,Civil Engineering,371,371,371,371
539,DK850,International Tourism Management,303,303,303,303
540,DK861,Arts,302,302,302,302
541,DK862,Social Care,322,319,322,319
542,DK863,Creative Media,336,320,336,320
543,DK864,Film and Television Production,308,,308,
544,DK865,Audio and Music Production,352,,352,
545,DK870,General Nursing,440*,440*,440,440
546,DK872,Intellectual Disability Nursing,367,366,367,366
547,DK874,Mental Health Nursing,398,,398,
548,DK876,Early Childhood Studies,300,,300,
549,DK877,Midwifery,482,477,482,477
550,DK880,Health and Physical Activity,301,,301,
551,DK882,Agriculture (Award options),342,,342,
552,DK883,Science (Award options),373,368,373,368
553,DK884,Sustainable Agriculture,348,,348,
554,DK885,Agri-Food Production,,,,
555,DK886,Biopharmaceutical Science,379,,379,
556,DK887,Environmental Science,377,,377,
557,GA181,Accounting,303,,303,
558,GA182,Business,285,,285,
559,GA183,Business Information Systems,298,,298,
560,GA184,Marketing and Sales,300,,300,
561,GA185,Finance and Economics,318,,318,
562,GA186,Business with Entrepreneurship,287,,287,
563,GA187,Rural Enterprise and Agri-Business,291,,291,
564,GA281,Film and Documentary,310,301,310,301
565,GA282,Heritage Studies,252,,252,
566,GA283,Contemporary Art (portfolio),#790,,790,
567,GA284,Design,331,,331,
568,GA285,Education (Art  Design and Graphics),406,,406,
569,GA380,International Hotel Management,218,,218,
570,GA381,International Tourism Management,252,,252,
571,GA382,Culinary and Gastronomic Science,235,,235,
572,GA384,Event Management with Public Relations,230,,230,
573,GA480,Construction Management,302,,302,
574,GA482,Quantity Surveying and Construction Economics,304,,304,
575,GA483,Architectural Technology,281,273,281,273
576,GA484,Civil Engineering,377,,377,
577,GA580,Software and Electronic Engineering,300,,300,
578,GA680,Mechanical Engineering,400,,400,
579,GA681,Energy Engineering,312,,312,
580,GA682,Biomedical Engineering,331,,331,
581,GA683,Agricultural Engineering,304,,304,
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,413,
583,GA685,Manufacturing Engineering Design,336,,336,
584,GA780,Applied Freshwater and Marine Biology,366,,366,
585,GA781,Applied Biology and Biopharmaceutical Science,381,,381,
586,GA782,Chemical and Pharmaceutical Science,356,,356,
587,GA783,Physics and Instrumentation,301,,301,
588,GA784,Science (Undenominated),445,,445,
589,GA785,Medical Science,517,510,517,510
590,GA786,Forensic Science and Analysis,408,,408,
591,GA787,Computing in Software Development,310,,310,
592,GA788,Computing and Digital Media,270,,270,
593,GA789,Agriculture and Environmental Management,340,,340,
594,GA790,Sport and Exercise Science,376,366,376,366
595,GA791,Public Health Nutrition,368,,368,
596,GA880,General Nursing,440*,,440,
597,GA882,Psychiatric Nursing,369,,369,
598,GA885,Outdoor Education,269,,269,
599,GA887,History and Geography,201,,201,
600,GA889,Applied Social Care,265,,265,
601,GA890,Early Childhood Education and Care,281,227,281,227
602,GA891,Geography and Outdoor Education,261,,261,
603,GA892,Community Development and Youth Work (Level 8),,,,
604,GA980,Education (Design Graphics and Construction),410,,410,
605,GA981,Furniture Design and Manufacture,346,,346,
606,GA982,Furniture Making and Architectural Woodworking,360,,360,
607,GA983,Furniture and Digital Manufacturing,,,,
608,GA984,Furniture Design  Making and Technology - Common E,486,467,486,467
609,GY101,Arts (Joint-Honours),327,326,327,326
610,GY104,BSc (Psychology),564,555,564,555
611,GY105,Arts (History),357,,357,
612,GY109,Arts (Mathematics and Education),413,,413,
613,GY110,Arts (Children and Youth Studies - options),387,,387,
614,GY111,Arts (English and Creative Writing),421,420,421,420
615,GY113,Arts with Human Rights,413,,413,
616,GY115,Arts with Performing Arts Studies,300,,300,
617,GY118,Arts (Drama  Theatre and Performance Studies),453,430,453,430
618,GY119,Arts (Journalism),484,473,484,473
619,GY122,Na Dána (Cumarsáid agus Gaeilge),410,,410,
620,GY123,Applied Social Sciences,419,,419,
621,GY125,Arts (Digital Arts and Technology),403,,403,
622,GY127,Arts (Film and Digital Media),430,421,430,421
623,GY128,Arts (Global Languages),346,,346,
624,GY129,Arts (Global Experience),465,,465,
625,GY130,Arts (Music),462,,462,
626,GY132,Government (Politics  Economics and Law),465,451,465,451
627,GY133,Education (Computer Science and Mathematical Studi,454,,454,
628,GY134,Geography and Geosystems,425,,425,
629,GY135,Arts (Global Media),442,,442,
630,GY136,Na Dána (Léann Teanga - options),526,,526,
631,GY201,Commerce,476,,476,
632,GY202,Commerce (International) with French,520,,520,
633,GY203,Commerce (International) with German,518,,518,
634,GY204,Commerce (International) with Spanish,506,,506,
635,GY206,Business Information Systems (Work Placement and O,509,,509,
636,GY207,Commerce (Accounting) including optional Global Ex,543,,543,
637,GY208,Commerce (Gaeilge),508,,508,
638,GY209,Commerce (Global Experience),551,,551,
639,GY250,Law and Business,510,,510,
640,GY251,Law (BCL),542,,542,
641,GY252,Law (BCL) and Human Rights,565,,565,
642,GY253,Law and Taxation,506,,506,
643,GY254,Law (BCL)  Criminology and Criminal Justice,548,,548,
644,GY261,Business Studies in International Hotel Management,#503,,503,
645,GY262,Commerce in International Hotel Management (interv,#709,,709,
646,GY301,Science,489,488,489,488
647,GY303,Biomedical Science,613,,613,
648,GY304,Biotechnology,498,495,498,495
649,GY308,Environmental Science,431,430,431,430
650,GY309,Financial Mathematics and Economics,509,,509,
651,GY310,Marine Science,467,,467,
652,GY313,Environmental Health and Safety,412,,412,
653,GY314,Earth and Ocean Sciences,422,,422,
654,GY318,Biopharmaceutical Chemistry,555,,555,
655,GY319,Mathematical Science,543,,543,
656,GY320,Physics (Degree options: Applied Astrophysics Biom,465,,465,
657,GY321,Genetics and Genomics,532,,532,
658,GY322,Agricultural Sciences,485,,485,
659,GY350,Computer Science and Information Technology,495,,495,
660,GY401,Engineering (Undenominated),522,520,522,520
661,GY402,Civil Engineering,533,521,533,521
662,GY405,Mechanical Engineering,541,,541,
663,GY406,Electronic and Computer Engineering,555,,555,
664,GY408,Biomedical Engineering,554,,554,
665,GY410,Project and Construction Management,431,,431,
666,GY413,Energy Systems Engineering,509,,509,
667,GY414,Electrical and Electronic Engineering,433,,433,
668,GY501,Medicine (five year/six year course  HPAT required,#737*,#737*,737,737
669,GY502,Occupational Therapy,601,,601,
670,GY503,Speech and Language Therapy,578,,578,
671,GY504,Podiatric Medicine,531,526,531,526
672,GY515,General Nursing (Galway and Portiuncula),502,496,502,496
673,GY516,Mental Health Nursing,475,441,475,441
674,GY517,Midwifery,520,509,520,509
675,LY108,Business - Accounting,312,,312,
676,LY118,Business,288,,288,
677,LY128,Marketing with Online Technologies,261,261,261,261
678,LY208,Law,300,290,300,290
679,LY228,Sports and Exercise - Common Entry,290,,290,
680,LY408,Design - Common Entry,#301,,301,
681,LY508,Fire Safety Engineering,283,,283,
682,LY518,Quantity Surveying,304,,304,
683,LY528,Construction Management,262,,262,
684,LY538,Architectural Technology,234,234,234,234
685,LY608,Mechanical Engineering,300,,300,
686,LY618,Electronic Engineering,321,,321,
687,LY708,Applied Computing,320,,320,
688,LY748,Computer Science,316,,316,
689,LY818,Science - Common Entry,302,,302,
690,LY828,Agriculture - Common Entry,308,300,308,300
691,LY908,General Nursing,429*,,429,
692,LY918,Psychiatric Nursing,367*,,367,
693,LY928,Intellectual Disability Nursing,357,,357,
694,LY968,Early Childhood Care  Health and Education,288,,288,
695,LY978,Health and Social Care - Common Entry,279,,279,
696,MI001,Contemporary and Applied Theatre Studies,209,,209,
697,MI002,Arts,280,,280,
698,MI004,Education - Primary Teaching - International,589,,589,
699,MI005,Education - Primary Teaching,522,,522,
700,MI006,Education - Primary Teaching - Gaeltacht Applicant,#485,,485,
701,MI007,Early Childhood Care and Education,409,,409,
702,MI008,Education and Psychology - Primary Teaching,590,,590,
703,MI009,Education  Business Studies and Accounting,434,,434,
704,MI010,Education  Business Studies and Religious Studies,370,,370,
705,MI011,Education  Gaeilge and Religious Studies,407,,407,
706,MI012,Education  Gaeilge and Business Studies,387,,387,
707,MI013,Education  Mathematics and Gaeilge,509,,509,
708,MI014,Education  Mathematics and Business Studies,476,,476,
709,CI110,Counselling and Psychotherapy,292,,292,
710,CI111,Counselling and Psychotherapy with Addiction Studi,290,,290,
711,CI112,Counselling and Psychotherapy with Youth Studies,325,,325,
712,LC110,Art and Design (Common Entry  portfolio),#794,,794,
713,LC114,Fashion and Textiles for Product and Costume (port,#914,,914,
714,LC115,Art and Design Teacher Education (LIT and UL  port,#993,,993,
715,LC220,Digital Marketing,263,,263,
716,LC223,Law and Taxation,331,,331,
717,LC224,Accounting and Finance,300,,300,
718,LC225,Marketing and Management,298,,298,
719,LC226,Enterprise and Innovation,255,,255,
720,LC233,Software Development,280,,280,
721,LC234,Immersive Digital Media and Spatial Computing,226,,226,
722,LC236,Internet Systems Development,260,,260,
723,LC239,Computer Networks and Systems Management,317,,317,
724,LC241,Construction Management,326,,326,
725,LC242,Property Valuation and Management,308,,308,
726,LC243,Quantity Surveying,278,,278,
727,LC248,Built Environment (Common Entry),300,,300,
728,LC252,Civil Engineering Management,264,,264,
729,LC263,Medical Technology,391,,391,
730,LC265,Forensic and Pharmaceutical Sciences,498,,498,
731,LC266,Drug and Medicinal Product Analysis,252,,252,
732,LC275,Electrical Engineering,361,347,361,347
733,LC288,Mechanical Engineering,378,369,378,369
734,LC289,Precision Engineering,261,,261,
735,LC292,Social Care Work,374,,374,
736,LC293,Business Studies with Travel and Tourism Managemen,271,264,271,264
737,LC294,Business Studies with Event Management,279,,279,
738,LC295,Business Studies with Sports Management,262,,262,
739,LC297,Community and Addiction Studies,272,262,272,262
740,LC320,Business,381,,381,
741,LC330,Business with Computing,328,308,328,308
742,LC340,Interior Design,391,368,391,368
743,LC362,Biotechnology and Biopharmaceutical Sciences,429,,429,
744,LC371,Creative Broadcast and Film Production,325,310,325,310
745,LC372,Music Technology and Production,377,,377,
746,LC374,Renewable and Electrical Energy Engineering,337,319,337,319
747,LC375,Industrial Automation and Robotic Systems,309,,309,
748,LC376,Electronic Engineering with Computer Systems,357,,357,
749,LC380,Automotive Engineering and Transport Management,298,,298,
750,LC392,Business Studies in Beauty and Spa Management,328,317,328,317
751,LC393,Early Childhood Education and Care,309,276,309,276
752,LC402,Social Care Work,228,,228,
753,LC408,Environmental Science and Climate,279,,279,
754,LC416,Business,260,,260,
755,LC418,Computing - Games Design and Development,260,256,260,256
756,LC422,Applied Strength and Conditioning,289,,289,
757,LC502,Game Art and Design (portfolio),#841,,841,
758,LC517,Creative Media and Design,279,,279,
759,LC518,Digital Animation Production (portfolio),#807,,807,
760,LC612,Social Care Work,309,,309,
761,LM002,Arts,360*,360,360,360
762,LM019,Social Sciences,451,,451,
763,LM020,Law and Accounting,474,,474,
764,LM026,Performing Arts (audition format TBC),#329,,329,
765,LM028,Criminal Justice,420,,420,
766,LM029,Law Plus,530,,530,
767,LM038,Psychology and Sociology,530,,530,
768,LM039,Journalism and Digital Communication,432,,432,
769,LM040,European Studies,409,,409,
770,LM044,Applied Languages,429,,429,
771,LM050,Business Studies (options),451,,451,
772,LM056,International Business,555*,,555,
773,LM058,Financial Mathematics,468,,468,
774,LM063,Technology Management,410,,410,
775,LM066,Environmental Science,430,,430,
776,LM068,Food Science and Health,464*,,464,
777,LM076,Product Design and Technology (portfolio required),#401,,401,
778,LM077,Aeronautical Engineering,567,,567,
779,LM082,Construction Management and Engineering,446*,,446,
780,LM089,Sport and Exercise Sciences,498*,,498,
781,LM090,Physical Education with concurrent Teacher Educati,552,544*,552,544
782,LM091,Languages with concurrent Teacher Education,506,,506,
783,LM092,Science with Teacher Ed (Biology with Physics/Chem,521,,521,
784,LM093,Equine Science,367,,367,
785,LM094,Materials and Architectural Technology with concur,475,,475,
786,LM095,Materials and Engineering Technology with concurre,425,,425,
787,LM096,Science with Teacher Ed (Physical Sciences with Ch,454,,454,
788,LM097,Mathematics and Computer Science with concurrent T,465,,465,
789,LM099,Architecture,520,,520,
790,LM100,Physiotherapy,613*,,613,
791,LM101,Medicine  - Graduate Entry (GAMSAT required),#57*,,57,
792,LM102,Psychology,534,,534,
793,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,#429,,429,
794,LM105,Exercise and Health Fitness Management,441,,441,
795,LM115,Chemical and Biochemical Engineering,476,,476,
796,LM116,Engineering (Biomedical/Civil/Design and Manufactu,498*,,498,
797,LM118,Electronic and Computer Engineering,445,,445,
798,LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,,402,
799,LM122,Creative Media and Interaction Design (Digital Des,382,,382,
800,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498*,,498,
801,LM124,Mathematics (Math Science/Maths and Physics/Econom,455,,455,
802,LM125,Physics (Applied Physics or Mathematics and Physic,489,,489,
803,LM150,General Nursing,498*,487,498,487
804,LM152,Mental Health Nursing,478,466,478,466
805,LM154,Intellectual Disability Nursing,462,443,462,443
806,LM156,Midwifery,521*,508,521,508
807,MU001,Theology and Arts,294,294,294,294
808,MU002,Theology,,,,
809,MH001,Education - Primary Teaching (Froebel),564,,564,
810,MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,
811,MH003,Early Childhood - Teaching and Learning (full-time,381,,381,
812,MH101,Arts,338,336,338,336
813,MH103,Music,#,,,
814,MH106,Psychology - 3 years,554,,554,
815,MH107,Social Science,390,,390,
816,MH109,Media Studies,324,,324,
817,MH116,Community and Youth Work (Full-Time),#,,,
818,MH201,Science,401,400,401,400
819,MH202,Biotechnology,490,489,490,489
820,MH203,Biological and Geographical Sciences,451,,451,
821,MH204,Physics with Astrophysics,422,,422,
822,MH206,Theoretical Physics and Mathematics,521,,521,
823,MH207,Data Science,444,,444,
824,MH208,Biological and Biomedical Sciences,543,,543,
825,MH209,Psychology (through Science) - 4 years,529,,529,
826,MH210,Pharmaceutical and Biomedical Chemistry,510,,510,
827,MH212,Science|Maths and Computer Science|Mathematics (wi,452,443,452,443
828,MH304,Engineering (Computer/Electronic/Communications),351,351,351,351
829,MH305,Product Design,326,,326,
830,MH306,Robotics and Intelligent Devices,362,,362,
831,MH401,Finance (options),370,,370,
832,MH402,Quantitative Finance,476,,476,
833,MH403,Accounting and Finance,424,,424,
834,MH404,Business (options),441,,441,
835,MH407,Business and Accounting,423,,423,
836,MH411,Entrepreneurship,378,,378,
837,MH501,LLB Law - four year Single Major Law programme,507,,507,
838,MH502,Law (options),465,,465,
839,MH601,Computer Science through Arts (options),381,,381,
840,MH602,Computer Science through Science (options),400,,400,
841,MH603,Computational Thinking,520,,520,
842,MH801,Early Childhood - Teaching and Learning (part-time,AQA,AQA,,
843,MH802,Community and Youth Work (part-time  in service),,#,,
844,MH803,Local Studies/Community Studies (part-time  evenin,,#,,
845,AS001,Education  Home Economics and Biology - with concu,542,533,542,533
846,AS002,Education  Home Economics and Religious Ed - with,464,452*,464,452
847,AS003,Education  Home Economics and Irish - with concurr,463*,457,463,457
848,AS051,Nutrition  Food and Business Management,378,347,378,347
849,AS054,Home Economics,440*,419*,440,419
850,AS110,General Nursing,440*,432,440,432
851,AS130,Intellectual Disability Nursing,387,358,387,358
852,SG141,Business,262,,262,
853,SG145,Business and ICT,279,,279,
854,SG146,Accounting,304,,304,
855,SG147,Sport with Business,288,,288,
856,SG148,Tourism with Event Management,298,,298,
857,SG150,Business in Marketing,298,,298,
858,SG241,Performing Arts,341,,341,
859,SG242,Early Childhood Care and Education,287,,287,
860,SG243,Social Care Practice,309,,309,
861,SG244,Fine Art,#501,,501,
862,SG245,Creative Design,332,,332,
863,SG246,Computing,316,,316,
864,SG247,English and Psychology,319,,319,
865,SG248,Sociology and Politics,298,,298,
866,SG249,Writing and Literature,308,,308,
867,SG252,Software Development,310,,310,
868,SG253,Computing in Computer Networks and Cyber Security,336,,336,
869,SG254,Writing and Literature Online,327,,327,
870,SG255,Law and Business,291,,291,
871,SG341,General Engineering,373,,373,
872,SG342,Civil Engineering,418,,418,
873,SG343,Quantity Surveying,300,,300,
874,SG344,Mechanical Engineering,412,,412,
875,SG346,Construction Project Management and Applied Techno,313,,313,
876,SG347,Architecture,403,,403,
877,SG348,Interior Architecture and Design,359,,359,
878,SG349,Electronics and Self Driving Technologies,,,,
879,SG350,Robotics and Automation,384,,384,
880,SG442,Occupational Safety and Health,307,,307,
881,SG443,Human Nutrition,376,,376,
882,SG444,Science Undenominated,358,,358,
883,SG445,Pharmaceutical Science with Drug Development,357,,357,
884,SG447,Health Science and Physical Activity,326,,326,
885,SG448,Forensic Investigation and Analysis,308,,308,
886,SG449,Medical Biotechnology,315,,315,
887,SG450,Environmental Science with Ecology (Level 8),310,,310,
888,TL801,Animation  Visual Effects and Motion Design (Level,#718,,718,
889,TL802,TV  Radio and New Media (Level 8),322,,322,
890,TL810,Computing with Software Development,308,,308,
891,TL811,Computing with Games Development,322,,322,
892,TL815,Computing (Degree Award options),307,,307,
893,TL823,Event Management (3 year programme),293,,293,
894,TL831,Business Studies (Major Specialism in: Acctng or M,306,,306,
895,TL842,Construction Management,,,,
896,TL844,Agricultural Engineering,301,,301,
897,TL845,Civil Engineering,361,,361,
898,TL847,Manufacturing Engineering,305,,305,
899,TL848,Agricultural Science,307,,307,
900,TL851,Wildlife Biology (Degree Award options),309,,309,
901,TL855,Pharmaceutical Science (Degree Award options),316,,316,
902,TL858,Veterinary Bioscience,317,,317,
903,TL871,Health and Leisure (Degree Award options),303,,303,
904,TL872,Health and Leisure with Massage,314,,314,
905,TL873,Coaching and Sports Performance,308,,308,
906,TL874,Inclusive Sport and Physical Activity,341,,341,
907,TL880,Early Childhood Care and Education,309,,309,
908,TL881,Social Care,301,,301,
909,TL889,Counselling with Addiction - Mature applicants onl,,,,
910,TL890,General Nursing and Mature Applicants,463,,463,
911,TL891,Mental Health Nursing and Mature Applicants,440,419,440,419
912,WD001,Applied Computing (options),270,261,270,261
913,WD002,Science (options),279,,279,
914,WD005,Health Sciences (options),271,,271,
915,WD006,Exercise Sciences (options),270,,270,
916,WD007,Engineering (options),270,270,270,270
917,WD025,Construction Management and Engineering,262,,262,
918,WD027,Music,#321,,321,
919,WD048,Business (options),279,,279,
920,WD084,Accounting,308,,308,
921,WD091,Hospitality Management,225,,225,
922,WD116,General Nursing,446,,446,
923,WD117,Psychiatric Nursing,415,,415,
924,WD120,Intellectual Disability Nursing,390,,390,
925,WD134,International Business,267,,267,
926,WD137,Design (Visual Communications),252,,252,
927,WD140,Laws,280,,280,
928,WD144,Architecture,309,,309,
929,WD147,Pharmaceutical Science,288,,288,
930,WD150,Criminal Justice Studies,280,,280,
931,WD152,Visual Art,243,,243,
932,WD161,Computer Forensics and Security,270,,270,
933,WD162,Quantity Surveying,226,,226,
934,WD163,Psychology,456,,456,
935,WD186,Sports Coaching and Performance,261,,261,
936,WD187,Social Science,276,,276,
937,WD191,Agricultural Science,377,,377,
938,WD192,Social Care Practice,271,,271,
939,WD193,Marketing and Digital Media,279,,279,
940,WD194,Culinary Arts,237,,237,
941,WD195,Architectural and Building Information Modelling T,279,,279,
942,WD200,Arts (options),201,201,201,201
943,WD210,Software Systems Development,260,,260,
944,WD211,Creative Computing,270,,270,
945,WD212,Recreation and Sport Management,262,,262,
946,WD230,Mechanical and Manufacturing Engineering,230,230,230,230
947,WD231,Early Childhood Care and Education,266,,266,
948,WD232,Business Information Systems,261,261,261,261
